"Code","dist_nearest_school","pred_ntl_antilog","pred_ndvi","geometry"
"C90",152.229898248791,17.2524952527709,0.702000910074978,c(121.1642031, 13.9393375)
"C91",272.188767725663,12.1389251228623,0.867205604362372,c(121.1393594, 13.9424375)
"C92",380.936442686089,8.870319061442,0.71328440560089,c(121.1678125, 13.9818125)
"C93",271.129304608052,13.1472011510017,0.612872728123913,c(121.1629844, 13.9553625)
"C94",291.354134676753,14.9098234327065,0.671722018159038,c(121.1509219, 13.9438875)
"C95",255.08152116857,23.2060410753141,0.75987089107386,c(121.1688594, 14.0092125)
"C96",662.134649399142,8.48979321587425,0.704831021062702,c(121.1270781, 13.9408375)
"C97",418.615706806517,15.447750556735,0.58015153592956,c(121.1629375, 13.9706875)
"C98",303.344353458345,17.5407713056972,0.700303041564126,c(121.1568125, 13.9375625)
"C99",639.299255844271,8.40268342640453,0.710757835884996,c(121.1273906, 13.9408125)
"C100",77.4775533762965,17.2843313695906,0.688782788797962,c(121.1639375, 13.9401875)
"C101",453.05585134804,18.850984039479,0.610709468510424,c(121.1566875, 13.9475625)
"C102",785.876756553862,7.45721547000854,0.876663341379321,c(121.1783125, 13.9423125)
"C103",324.949957516855,18.0604000636442,0.7252037357103,c(121.1506875, 13.9413125)
"C104",262.990891312987,12.9930005830249,0.56578236507261,c(121.1662969, 13.9676625)
"C105",217.147308592605,7.35976206524528,0.755808335184632,c(121.1320625, 13.9469375)
"C106",229.749852310413,11.2312077410923,0.826956503493256,c(121.1455625, 13.9414375)
"L107",124.981839445249,8.51756412701789,0.674279015257174,c(121.1762966, 13.96300011)
"L108",475.365631993826,8.2862083301066,0.624349803347125,c(121.1214375, 13.9413125)
"L109",360.08985753475,18.8584022839289,0.716990274535072,c(121.1543125, 13.9383125)
"L110",397.261207916529,18.8207464564126,0.616378916549001,c(121.1559375, 13.9476875)
"L111",610.126654896137,9.22179867445138,0.596093107907624,c(121.1658125, 13.9601875)
"L112",275.085093119886,11.0273336285663,0.83429008328194,c(121.1451406, 13.9414625)
"L113",575.344469136709,8.96246590729924,0.590684579325871,c(121.1653125, 13.9603125)
"L114",164.635151221382,21.5089060254436,0.619236467831989,c(121.1590625, 13.9410625)
"L115",360.703859381861,19.6782594969434,0.67801513891055,c(121.1522031, 13.9422125)
"L116",22.6254325017838,8.22779626514345,0.781481420585329,c(121.1318125, 13.9449375)
"L117",111.195101177525,22.3916781355154,0.620270583166358,c(121.1579375, 13.9410625)
"L118",589.171803449873,4.39569595576674,0.690415008988453,c(121.1349375, 13.9523125)
"L119",476.244405752989,8.28034912098335,0.732245553280821,c(121.1788281, 13.9656625)
"L120",795.176665621783,14.4907146792741,0.663910954704656,c(121.1662969, 14.0034625)
"L121",329.203989584916,19.7514862660027,0.614919678180638,c(121.1603594, 13.9418625)
"L122",975.738465239483,7.53016038769276,0.664592558345558,c(121.1199375, 13.9365625)
"L123",161.139954285292,16.0011126479497,0.650119166808063,c(121.1635625, 13.9430625)
"L124",233.360308472442,16.7340379969144,0.739632455143752,c(121.1498489, 13.94150014)
"L125",373.517379060389,20.0148916478303,0.678812431642331,c(121.1523125, 13.9420625)
"L126",79.2972741016652,19.194006902781,0.62692299627632,c(121.1538125, 13.9449375)
"L127",345.804116916328,19.6078444663708,0.713461144832285,c(121.1538125, 13.9388125)
"L128",537.058560916158,14.1455540239444,0.648890126076967,c(121.1654375, 13.9545625)
"L129",805.497799001525,6.2017246211118,0.702537588310462,c(121.1616406, 13.9795125)
"D130",159.177873165979,12.6495489437441,0.807375610403724,c(121.1475469, 13.9401375)
"D131",115.695189030332,14.5950631987235,0.770200922201961,c(121.1486875, 13.9411875)
